dataset,loss_type,df,fourier_scale,model_psnr,model_psnr_std,bilinear_psnr,bilinear_psnr_std,psnr_improvement,psnr_improvement_std,total_samples
satburst_synth,mse,8,20,25.75541009902954,3.0578741773331024,26.62105655670166,3.6790241356761686,-0.8656464576721191,3.297157152042651,20
burst_synth,gnll,8,5,25.169504470825196,3.657136260895128,25.442631454467772,3.8283839550174874,-0.27312698364257815,1.4811193629873411,50
burst_synth,gnll,8,20,15.894371376037597,3.6668722771141016,25.442631454467772,3.8283839550174874,-9.548260078430175,3.1877452056265376,50
burst_synth,gnll,2,1,28.66839900970459,4.337702508396229,27.66766414642334,3.491218937638369,1.00073486328125,1.4777973010824994,50
burst_synth,gnll,8,10,22.34636817932129,3.6443885460319505,25.442631454467772,3.8283839550174874,-3.0962632751464843,2.064032593362544,50
burst_synth,gnll,2,10,21.15269844055176,3.249604923436231,27.66766414642334,3.491218937638369,-6.514965705871582,1.9958529082282175,50
satburst_synth,gnll,4,1,30.64371290206909,3.9074184531457172,29.710631370544434,3.637124963916764,0.9330815315246582,1.1056704643617303,20
burst_synth,mse,4,5,27.28847911834717,3.79391378444539,26.12599433898926,3.7210398920557743,1.16248477935791,1.313216245626097,50
burst_synth,gnll,8,3,25.988814010620118,3.7978764296418084,25.442631454467772,3.8283839550174874,0.5461825561523438,0.9489421120201378,50
burst_synth,gnll,4,10,18.23399383544922,3.70182909598144,26.12599433898926,3.7210398920557743,-7.892000503540039,3.4034115915823033,50
burst_synth,gnll,4,3,26.739834327697753,3.695102267315134,26.12599433898926,3.7210398920557743,0.6138399887084961,1.098270215907576,50
burst_synth,mse,4,20,15.445045070648193,3.113583122681706,26.12599433898926,3.7210398920557743,-10.680949268341065,2.065185865983443,50
burst_synth,mse,2,5,22.90677131652832,5.112897999451046,27.66766414642334,3.491218937638369,-4.7608928298950195,4.809201840756181,50
satburst_synth,gnll,2,5,39.95746192932129,3.0706157112378554,34.69514379501343,3.5073159546927926,5.262318134307861,1.1148439608798457,20
burst_synth,mse,2,10,20.260020046234132,3.534900359157325,27.66766414642334,3.491218937638369,-7.407644100189209,2.8130954428465955,50
burst_synth,gnll,2,5,22.749950065612794,3.3493805758024613,27.66766414642334,3.491218937638369,-4.917714080810547,2.3379087293715966,50
satburst_synth,mse,2,1,32.5624098777771,3.420476328388721,34.69514379501343,3.5073159546927926,-2.132733917236328,1.0763713148252658,20
satburst_synth,gnll,8,1,28.90920133590698,3.7213568153900347,26.62105655670166,3.6790241356761686,2.2881447792053224,0.8494446145571659,20
burst_synth,mse,8,20,13.502585353851318,3.28163652262112,25.442631454467772,3.8283839550174874,-11.940046100616454,3.1442495247597346,50
satburst_synth,mse,4,5,35.653668308258055,2.889492735484645,29.710631370544434,3.637124963916764,5.943036937713623,1.3477316604855483,20
satburst_synth,mse,2,10,40.51268711090088,2.8335556279784133,34.69514379501343,3.5073159546927926,5.817543315887451,0.9232985517425812,20
satburst_synth,mse,4,20,34.154111003875734,2.109572227295143,29.710631370544434,3.637124963916764,4.4434796333312985,2.863067066220516,20
satburst_synth,mse,2,3,37.46075649261475,2.9694639990214777,34.69514379501343,3.5073159546927926,2.7656126976013184,1.2786455916711346,20
burst_synth,gnll,4,20,16.448414211273192,2.9034485912535906,26.12599433898926,3.7210398920557743,-9.677580127716064,2.5715654549431415,50
burst_synth,mse,4,3,27.903137130737306,3.9460422313204537,26.12599433898926,3.7210398920557743,1.777142791748047,1.0639331530637197,50
satburst_synth,mse,8,5,30.378266048431396,3.405094695450599,26.62105655670166,3.6790241356761686,3.7572094917297365,1.277041234953914,20
satburst_synth,gnll,2,10,40.987777137756346,3.029504939931503,34.69514379501343,3.5073159546927926,6.29263334274292,0.7923033704167667,20
satburst_synth,gnll,2,20,39.826127433776854,3.5791419774242743,34.69514379501343,3.5073159546927926,5.130983638763428,2.9422310277920563,20
satburst_synth,gnll,4,10,36.95333290100098,2.64999106996959,29.710631370544434,3.637124963916764,7.242701530456543,1.551990207160484,20
satburst_synth,mse,8,3,30.040931034088135,3.4825128020114424,26.62105655670166,3.6790241356761686,3.4198744773864744,1.1833782661513217,20
burst_synth,gnll,8,1,26.05849208831787,4.580919779039371,25.442631454467772,3.8283839550174874,0.6158606338500977,1.232769527829493,50
burst_synth,gnll,2,20,20.483432998657225,2.883736749421344,27.66766414642334,3.491218937638369,-7.184231147766114,1.7931264792122152,50
burst_synth,gnll,4,5,25.12615810394287,3.649944886463866,26.12599433898926,3.7210398920557743,-0.9998362350463867,1.9573973910259157,50
satburst_synth,mse,4,1,31.57987251281738,3.4148692911828737,29.710631370544434,3.637124963916764,1.8692411422729491,1.0148459719121403,20
satburst_synth,mse,4,3,34.50355749130249,3.005690240698203,29.710631370544434,3.637124963916764,4.7929261207580565,1.2801520061102953,20
satburst_synth,gnll,8,20,25.83530511856079,3.008149053523524,26.62105655670166,3.6790241356761686,-0.7857514381408691,3.753830362506706,20
burst_synth,gnll,4,1,26.843993492126465,4.509165782456258,26.12599433898926,3.7210398920557743,0.7179991531372071,1.2857102488510483,50
burst_synth,mse,8,5,26.45615936279297,3.8910084391631137,25.442631454467772,3.8283839550174874,1.0135279083251953,1.1129320012324129,50
satburst_synth,gnll,8,5,30.656264114379884,3.2191335046167446,26.62105655670166,3.6790241356761686,4.0352075576782225,1.653988821671523,20
